group,seed,k_frac,acc,file
nonshuffle,2,0.15,0.8743999600410461,results_kfrac_geo_r_r502.yaml
nonshuffle,2,0.2,0.8854999542236328,results_kfrac_geo_r_r502.yaml
nonshuffle,2,0.25,0.8919999599456787,results_kfrac_geo_r_r502.yaml
nonshuffle,2,0.3,0.8958999514579773,results_kfrac_geo_r_r502.yaml
nonshuffle,2,0.35,0.8955000042915344,results_kfrac_geo_r_r502.yaml
nonshuffle,2,0.4,0.8988999724388123,results_kfrac_geo_r_r502.yaml
nonshuffle,2,0.45,0.8999999761581421,results_kfrac_geo_r_r502.yaml
nonshuffle,2,0.5,0.9031999707221985,results_kfrac_geo_r_r502.yaml
nonshuffle,2,0.55,0.9072999954223633,results_kfrac_geo_r_r502.yaml
nonshuffle,2,0.6,0.9071999788284302,results_kfrac_geo_r_r502.yaml
nonshuffle,2,0.65,0.9090999960899353,results_kfrac_geo_r_r502.yaml
nonshuffle,2,0.7,0.9080999493598938,results_kfrac_geo_r_r502.yaml
nonshuffle,2,0.75,0.9085999727249146,results_kfrac_geo_r_r502.yaml
nonshuffle,2,0.8,0.9088999629020691,results_kfrac_geo_r_r502.yaml
nonshuffle,2,0.85,0.9080999493598938,results_kfrac_geo_r_r502.yaml
nonshuffle,2,0.9,0.9084999561309814,results_kfrac_geo_r_r502.yaml
nonshuffle,2,0.95,0.9085999727249146,results_kfrac_geo_r_r502.yaml
nonshuffle,2,1.0,0.9106000065803528,results_kfrac_geo_r_r502.yaml
nonshuffle,3,0.05,0.8260999917984009,results_kfrac_geo_r_r503.yaml
nonshuffle,3,0.1,0.8652999997138977,results_kfrac_geo_r_r503.yaml
nonshuffle,3,0.15,0.8736000061035156,results_kfrac_geo_r_r503.yaml
nonshuffle,3,0.2,0.8860999941825867,results_kfrac_geo_r_r503.yaml
nonshuffle,3,0.25,0.889799952507019,results_kfrac_geo_r_r503.yaml
nonshuffle,3,0.3,0.8959999680519104,results_kfrac_geo_r_r503.yaml
nonshuffle,3,0.35,0.9004999995231628,results_kfrac_geo_r_r503.yaml
nonshuffle,3,0.4,0.9007999897003174,results_kfrac_geo_r_r503.yaml
nonshuffle,3,0.45,0.9009999632835388,results_kfrac_geo_r_r503.yaml
nonshuffle,3,0.5,0.9048999547958374,results_kfrac_geo_r_r503.yaml
nonshuffle,3,0.55,0.9071999788284302,results_kfrac_geo_r_r503.yaml
nonshuffle,3,0.6,0.9070999622344971,results_kfrac_geo_r_r503.yaml
nonshuffle,3,0.65,0.9045999646186829,results_kfrac_geo_r_r503.yaml
nonshuffle,3,0.7,0.9070999622344971,results_kfrac_geo_r_r503.yaml
nonshuffle,3,0.75,0.9065999984741211,results_kfrac_geo_r_r503.yaml
nonshuffle,3,0.8,0.9079999923706055,results_kfrac_geo_r_r503.yaml
nonshuffle,3,0.85,0.9107999801635742,results_kfrac_geo_r_r503.yaml
nonshuffle,3,0.9,0.9044999480247498,results_kfrac_geo_r_r503.yaml
nonshuffle,3,0.95,0.9101999998092651,results_kfrac_geo_r_r503.yaml
nonshuffle,3,1.0,0.9106000065803528,results_kfrac_geo_r_r503.yaml
nonshuffle,4,0.05,0.8197999596595764,results_kfrac_geo_r_r504.yaml
nonshuffle,4,0.1,0.8517000079154968,results_kfrac_geo_r_r504.yaml
nonshuffle,4,0.15,0.8779999613761902,results_kfrac_geo_r_r504.yaml
nonshuffle,4,0.2,0.8812999725341797,results_kfrac_geo_r_r504.yaml
nonshuffle,4,0.25,0.8928999900817871,results_kfrac_geo_r_r504.yaml
nonshuffle,4,0.3,0.8951999545097351,results_kfrac_geo_r_r504.yaml
nonshuffle,4,0.35,0.8953999876976013,results_kfrac_geo_r_r504.yaml
nonshuffle,4,0.4,0.9019999504089355,results_kfrac_geo_r_r504.yaml
nonshuffle,4,0.45,0.903499960899353,results_kfrac_geo_r_r504.yaml
nonshuffle,4,0.5,0.9060999751091003,results_kfrac_geo_r_r504.yaml
nonshuffle,4,0.55,0.9019999504089355,results_kfrac_geo_r_r504.yaml
nonshuffle,4,0.6,0.902999997138977,results_kfrac_geo_r_r504.yaml
nonshuffle,4,0.65,0.9074999690055847,results_kfrac_geo_r_r504.yaml
nonshuffle,4,0.7,0.9047999978065491,results_kfrac_geo_r_r504.yaml
nonshuffle,4,0.75,0.9074999690055847,results_kfrac_geo_r_r504.yaml
nonshuffle,4,0.8,0.9086999893188477,results_kfrac_geo_r_r504.yaml
nonshuffle,4,0.85,0.9099999666213989,results_kfrac_geo_r_r504.yaml
nonshuffle,4,0.9,0.9077999591827393,results_kfrac_geo_r_r504.yaml
nonshuffle,4,0.95,0.9080999493598938,results_kfrac_geo_r_r504.yaml
nonshuffle,4,1.0,0.9106000065803528,results_kfrac_geo_r_r504.yaml
nonshuffle,5,0.05,0.8307999968528748,results_kfrac_geo_r_r505.yaml
nonshuffle,5,0.1,0.8646999597549438,results_kfrac_geo_r_r505.yaml
nonshuffle,5,0.15,0.8761000037193298,results_kfrac_geo_r_r505.yaml
nonshuffle,5,0.2,0.8818999528884888,results_kfrac_geo_r_r505.yaml
nonshuffle,5,0.25,0.8919000029563904,results_kfrac_geo_r_r505.yaml
nonshuffle,5,0.3,0.897599995136261,results_kfrac_geo_r_r505.yaml
nonshuffle,5,0.35,0.8984999656677246,results_kfrac_geo_r_r505.yaml
nonshuffle,5,0.4,0.9001999497413635,results_kfrac_geo_r_r505.yaml
nonshuffle,5,0.45,0.905299961566925,results_kfrac_geo_r_r505.yaml
nonshuffle,5,0.5,0.9025999903678894,results_kfrac_geo_r_r505.yaml
nonshuffle,5,0.55,0.9063999652862549,results_kfrac_geo_r_r505.yaml
nonshuffle,5,0.6,0.906499981880188,results_kfrac_geo_r_r505.yaml
nonshuffle,5,0.65,0.9037999510765076,results_kfrac_geo_r_r505.yaml
nonshuffle,5,0.7,0.909500002861023,results_kfrac_geo_r_r505.yaml
nonshuffle,5,0.75,0.9078999757766724,results_kfrac_geo_r_r505.yaml
nonshuffle,5,0.8,0.9055999517440796,results_kfrac_geo_r_r505.yaml
nonshuffle,5,0.85,0.9106000065803528,results_kfrac_geo_r_r505.yaml
nonshuffle,5,0.9,0.9096999764442444,results_kfrac_geo_r_r505.yaml
nonshuffle,5,0.95,0.9083999991416931,results_kfrac_geo_r_r505.yaml
nonshuffle,5,1.0,0.9106000065803528,results_kfrac_geo_r_r505.yaml
nonshuffle,6,0.05,0.7870000004768372,results_kfrac_geo_r_r506.yaml
nonshuffle,6,0.1,0.8579999804496765,results_kfrac_geo_r_r506.yaml
nonshuffle,6,0.15,0.8764999508857727,results_kfrac_geo_r_r506.yaml
nonshuffle,6,0.2,0.885699987411499,results_kfrac_geo_r_r506.yaml
nonshuffle,6,0.25,0.8919000029563904,results_kfrac_geo_r_r506.yaml
nonshuffle,6,0.3,0.8953999876976013,results_kfrac_geo_r_r506.yaml
nonshuffle,6,0.35,0.8923999667167664,results_kfrac_geo_r_r506.yaml
nonshuffle,6,0.4,0.9013999700546265,results_kfrac_geo_r_r506.yaml
nonshuffle,6,0.45,0.9010999798774719,results_kfrac_geo_r_r506.yaml
nonshuffle,6,0.5,0.9049999713897705,results_kfrac_geo_r_r506.yaml
nonshuffle,6,0.55,0.9035999774932861,results_kfrac_geo_r_r506.yaml
nonshuffle,6,0.6,0.9084999561309814,results_kfrac_geo_r_r506.yaml
nonshuffle,6,0.65,0.9074999690055847,results_kfrac_geo_r_r506.yaml
nonshuffle,6,0.7,0.9083999991416931,results_kfrac_geo_r_r506.yaml
nonshuffle,6,0.75,0.9074999690055847,results_kfrac_geo_r_r506.yaml
nonshuffle,6,0.8,0.9068999886512756,results_kfrac_geo_r_r506.yaml
nonshuffle,6,0.85,0.9062999486923218,results_kfrac_geo_r_r506.yaml
nonshuffle,6,0.9,0.9084999561309814,results_kfrac_geo_r_r506.yaml
nonshuffle,6,0.95,0.9071999788284302,results_kfrac_geo_r_r506.yaml
nonshuffle,6,1.0,0.9106000065803528,results_kfrac_geo_r_r506.yaml
nonshuffle,7,0.05,0.8082999587059021,results_kfrac_geo_r_r507.yaml
nonshuffle,7,0.1,0.857699990272522,results_kfrac_geo_r_r507.yaml
nonshuffle,7,0.15,0.8727999925613403,results_kfrac_geo_r_r507.yaml
nonshuffle,7,0.2,0.8823999762535095,results_kfrac_geo_r_r507.yaml
nonshuffle,7,0.25,0.8908999562263489,results_kfrac_geo_r_r507.yaml
nonshuffle,7,0.3,0.8938999772071838,results_kfrac_geo_r_r507.yaml
nonshuffle,7,0.35,0.8977999687194824,results_kfrac_geo_r_r507.yaml
nonshuffle,7,0.4,0.8999999761581421,results_kfrac_geo_r_r507.yaml
nonshuffle,7,0.45,0.8985999822616577,results_kfrac_geo_r_r507.yaml
nonshuffle,7,0.5,0.904699981212616,results_kfrac_geo_r_r507.yaml
nonshuffle,7,0.55,0.9037999510765076,results_kfrac_geo_r_r507.yaml
nonshuffle,7,0.6,0.9066999554634094,results_kfrac_geo_r_r507.yaml
nonshuffle,7,0.65,0.9081999659538269,results_kfrac_geo_r_r507.yaml
nonshuffle,7,0.7,0.9061999917030334,results_kfrac_geo_r_r507.yaml
nonshuffle,7,0.75,0.9088999629020691,results_kfrac_geo_r_r507.yaml
nonshuffle,7,0.8,0.9086999893188477,results_kfrac_geo_r_r507.yaml
nonshuffle,7,0.85,0.9092999696731567,results_kfrac_geo_r_r507.yaml
nonshuffle,7,0.9,0.9085999727249146,results_kfrac_geo_r_r507.yaml
nonshuffle,7,0.95,0.9085999727249146,results_kfrac_geo_r_r507.yaml
nonshuffle,7,1.0,0.9106000065803528,results_kfrac_geo_r_r507.yaml
nonshuffle,8,0.05,0.8297999501228333,results_kfrac_geo_r_r508.yaml
nonshuffle,8,0.1,0.8637999892234802,results_kfrac_geo_r_r508.yaml
nonshuffle,8,0.15,0.8792999982833862,results_kfrac_geo_r_r508.yaml
nonshuffle,8,0.2,0.8844999670982361,results_kfrac_geo_r_r508.yaml
nonshuffle,8,0.25,0.8901999592781067,results_kfrac_geo_r_r508.yaml
nonshuffle,8,0.3,0.8913999795913696,results_kfrac_geo_r_r508.yaml
nonshuffle,8,0.35,0.8998000025749207,results_kfrac_geo_r_r508.yaml
nonshuffle,8,0.4,0.8983999490737915,results_kfrac_geo_r_r508.yaml
nonshuffle,8,0.45,0.9018999934196472,results_kfrac_geo_r_r508.yaml
nonshuffle,8,0.5,0.9039999842643738,results_kfrac_geo_r_r508.yaml
nonshuffle,8,0.55,0.9053999781608582,results_kfrac_geo_r_r508.yaml
nonshuffle,8,0.6,0.9063999652862549,results_kfrac_geo_r_r508.yaml
nonshuffle,8,0.65,0.9063999652862549,results_kfrac_geo_r_r508.yaml
nonshuffle,8,0.7,0.9077999591827393,results_kfrac_geo_r_r508.yaml
nonshuffle,8,0.75,0.90829998254776,results_kfrac_geo_r_r508.yaml
nonshuffle,8,0.8,0.9078999757766724,results_kfrac_geo_r_r508.yaml
nonshuffle,8,0.85,0.9070000052452087,results_kfrac_geo_r_r508.yaml
nonshuffle,8,0.9,0.9106000065803528,results_kfrac_geo_r_r508.yaml
nonshuffle,8,0.95,0.9074999690055847,results_kfrac_geo_r_r508.yaml
nonshuffle,8,1.0,0.9106000065803528,results_kfrac_geo_r_r508.yaml
nonshuffle,9,0.05,0.7833999991416931,results_kfrac_geo_r_r509.yaml
nonshuffle,9,0.1,0.8601999878883362,results_kfrac_geo_r_r509.yaml
nonshuffle,9,0.15,0.8826999664306641,results_kfrac_geo_r_r509.yaml
nonshuffle,9,0.2,0.8871999979019165,results_kfrac_geo_r_r509.yaml
nonshuffle,9,0.25,0.8922999501228333,results_kfrac_geo_r_r509.yaml
nonshuffle,9,0.3,0.8937000036239624,results_kfrac_geo_r_r509.yaml
nonshuffle,9,0.35,0.8980000019073486,results_kfrac_geo_r_r509.yaml
nonshuffle,9,0.4,0.9005999565124512,results_kfrac_geo_r_r509.yaml
nonshuffle,9,0.45,0.9044999480247498,results_kfrac_geo_r_r509.yaml
nonshuffle,9,0.5,0.9050999879837036,results_kfrac_geo_r_r509.yaml
nonshuffle,9,0.55,0.9005999565124512,results_kfrac_geo_r_r509.yaml
nonshuffle,9,0.6,0.9045999646186829,results_kfrac_geo_r_r509.yaml
nonshuffle,9,0.65,0.9055999517440796,results_kfrac_geo_r_r509.yaml
nonshuffle,9,0.7,0.9061999917030334,results_kfrac_geo_r_r509.yaml
nonshuffle,9,0.75,0.9065999984741211,results_kfrac_geo_r_r509.yaml
nonshuffle,9,0.8,0.9081999659538269,results_kfrac_geo_r_r509.yaml
nonshuffle,9,0.85,0.9025999903678894,results_kfrac_geo_r_r509.yaml
nonshuffle,9,0.9,0.9035999774932861,results_kfrac_geo_r_r509.yaml
nonshuffle,9,0.95,0.9080999493598938,results_kfrac_geo_r_r509.yaml
nonshuffle,9,1.0,0.9106000065803528,results_kfrac_geo_r_r509.yaml
shuffle,0,0.05,0.7335000038146973,results_kfrac_geo_r_r50_shuffle0.yaml
shuffle,0,0.1,0.8083999752998352,results_kfrac_geo_r_r50_shuffle0.yaml
shuffle,0,0.15,0.840999960899353,results_kfrac_geo_r_r50_shuffle0.yaml
shuffle,0,0.2,0.8565999865531921,results_kfrac_geo_r_r50_shuffle0.yaml
shuffle,0,0.25,0.8654999732971191,results_kfrac_geo_r_r50_shuffle0.yaml
shuffle,0,0.3,0.8751999735832214,results_kfrac_geo_r_r50_shuffle0.yaml
shuffle,0,0.35,0.8793999552726746,results_kfrac_geo_r_r50_shuffle0.yaml
shuffle,0,0.4,0.8884999752044678,results_kfrac_geo_r_r50_shuffle0.yaml
shuffle,0,0.45,0.8884999752044678,results_kfrac_geo_r_r50_shuffle0.yaml
shuffle,0,0.5,0.8951999545097351,results_kfrac_geo_r_r50_shuffle0.yaml
shuffle,0,0.55,0.8953999876976013,results_kfrac_geo_r_r50_shuffle0.yaml
shuffle,0,0.6,0.9021999835968018,results_kfrac_geo_r_r50_shuffle0.yaml
shuffle,0,0.65,0.9034000039100647,results_kfrac_geo_r_r50_shuffle0.yaml
shuffle,0,0.7,0.9004999995231628,results_kfrac_geo_r_r50_shuffle0.yaml
shuffle,0,0.75,0.9055999517440796,results_kfrac_geo_r_r50_shuffle0.yaml
shuffle,0,0.8,0.9054999947547913,results_kfrac_geo_r_r50_shuffle0.yaml
shuffle,0,0.85,0.9065999984741211,results_kfrac_geo_r_r50_shuffle0.yaml
shuffle,0,0.9,0.9088999629020691,results_kfrac_geo_r_r50_shuffle0.yaml
shuffle,0,0.95,0.9099999666213989,results_kfrac_geo_r_r50_shuffle0.yaml
shuffle,0,1.0,0.9106000065803528,results_kfrac_geo_r_r50_shuffle0.yaml
shuffle,1,0.05,0.7475000023841858,results_kfrac_geo_r_r50_shuffle1.yaml
shuffle,1,0.1,0.814300000667572,results_kfrac_geo_r_r50_shuffle1.yaml
shuffle,1,0.15,0.8384000062942505,results_kfrac_geo_r_r50_shuffle1.yaml
shuffle,1,0.2,0.8499999642372131,results_kfrac_geo_r_r50_shuffle1.yaml
shuffle,1,0.25,0.8631999492645264,results_kfrac_geo_r_r50_shuffle1.yaml
shuffle,1,0.3,0.8746999502182007,results_kfrac_geo_r_r50_shuffle1.yaml
shuffle,1,0.35,0.8786999583244324,results_kfrac_geo_r_r50_shuffle1.yaml
shuffle,1,0.4,0.8848999738693237,results_kfrac_geo_r_r50_shuffle1.yaml
shuffle,1,0.45,0.8881999850273132,results_kfrac_geo_r_r50_shuffle1.yaml
shuffle,1,0.5,0.8883000016212463,results_kfrac_geo_r_r50_shuffle1.yaml
shuffle,1,0.55,0.8935999870300293,results_kfrac_geo_r_r50_shuffle1.yaml
shuffle,1,0.6,0.8949999809265137,results_kfrac_geo_r_r50_shuffle1.yaml
shuffle,1,0.65,0.9012999534606934,results_kfrac_geo_r_r50_shuffle1.yaml
shuffle,1,0.7,0.899899959564209,results_kfrac_geo_r_r50_shuffle1.yaml
shuffle,1,0.75,0.9002999663352966,results_kfrac_geo_r_r50_shuffle1.yaml
shuffle,1,0.8,0.9063999652862549,results_kfrac_geo_r_r50_shuffle1.yaml
shuffle,1,0.85,0.9047999978065491,results_kfrac_geo_r_r50_shuffle1.yaml
shuffle,1,0.9,0.9085999727249146,results_kfrac_geo_r_r50_shuffle1.yaml
shuffle,1,0.95,0.9090999960899353,results_kfrac_geo_r_r50_shuffle1.yaml
shuffle,1,1.0,0.9106000065803528,results_kfrac_geo_r_r50_shuffle1.yaml
shuffle,2,0.05,0.7235999703407288,results_kfrac_geo_r_r50_shuffle2.yaml
shuffle,2,0.1,0.8030999898910522,results_kfrac_geo_r_r50_shuffle2.yaml
shuffle,2,0.15,0.8398000001907349,results_kfrac_geo_r_r50_shuffle2.yaml
shuffle,2,0.2,0.8552999496459961,results_kfrac_geo_r_r50_shuffle2.yaml
shuffle,2,0.25,0.8682999610900879,results_kfrac_geo_r_r50_shuffle2.yaml
shuffle,2,0.3,0.8743000030517578,results_kfrac_geo_r_r50_shuffle2.yaml
shuffle,2,0.35,0.873699963092804,results_kfrac_geo_r_r50_shuffle2.yaml
shuffle,2,0.4,0.8830999732017517,results_kfrac_geo_r_r50_shuffle2.yaml
shuffle,2,0.45,0.8889999985694885,results_kfrac_geo_r_r50_shuffle2.yaml
shuffle,2,0.5,0.8955000042915344,results_kfrac_geo_r_r50_shuffle2.yaml
shuffle,2,0.55,0.8977999687194824,results_kfrac_geo_r_r50_shuffle2.yaml
shuffle,2,0.6,0.8967999815940857,results_kfrac_geo_r_r50_shuffle2.yaml
shuffle,2,0.65,0.9002999663352966,results_kfrac_geo_r_r50_shuffle2.yaml
shuffle,2,0.7,0.9009999632835388,results_kfrac_geo_r_r50_shuffle2.yaml
shuffle,2,0.75,0.905299961566925,results_kfrac_geo_r_r50_shuffle2.yaml
shuffle,2,0.8,0.9093999862670898,results_kfrac_geo_r_r50_shuffle2.yaml
shuffle,2,0.85,0.9088999629020691,results_kfrac_geo_r_r50_shuffle2.yaml
shuffle,2,0.9,0.9088000059127808,results_kfrac_geo_r_r50_shuffle2.yaml
shuffle,2,0.95,0.909500002861023,results_kfrac_geo_r_r50_shuffle2.yaml
shuffle,2,1.0,0.9106000065803528,results_kfrac_geo_r_r50_shuffle2.yaml
shuffle,3,0.05,0.7444999814033508,results_kfrac_geo_r_r50_shuffle3.yaml
shuffle,3,0.1,0.8071999549865723,results_kfrac_geo_r_r50_shuffle3.yaml
shuffle,3,0.15,0.8344999551773071,results_kfrac_geo_r_r50_shuffle3.yaml
shuffle,3,0.2,0.8545999526977539,results_kfrac_geo_r_r50_shuffle3.yaml
shuffle,3,0.25,0.8669999837875366,results_kfrac_geo_r_r50_shuffle3.yaml
shuffle,3,0.3,0.8765999674797058,results_kfrac_geo_r_r50_shuffle3.yaml
shuffle,3,0.35,0.8769999742507935,results_kfrac_geo_r_r50_shuffle3.yaml
shuffle,3,0.4,0.8889999985694885,results_kfrac_geo_r_r50_shuffle3.yaml
shuffle,3,0.45,0.8883000016212463,results_kfrac_geo_r_r50_shuffle3.yaml
shuffle,3,0.5,0.8940999507904053,results_kfrac_geo_r_r50_shuffle3.yaml
shuffle,3,0.55,0.8951999545097351,results_kfrac_geo_r_r50_shuffle3.yaml
shuffle,3,0.6,0.8973000049591064,results_kfrac_geo_r_r50_shuffle3.yaml
shuffle,3,0.65,0.8986999988555908,results_kfrac_geo_r_r50_shuffle3.yaml
shuffle,3,0.7,0.9024999737739563,results_kfrac_geo_r_r50_shuffle3.yaml
shuffle,3,0.75,0.9048999547958374,results_kfrac_geo_r_r50_shuffle3.yaml
shuffle,3,0.8,0.9065999984741211,results_kfrac_geo_r_r50_shuffle3.yaml
shuffle,3,0.85,0.9080999493598938,results_kfrac_geo_r_r50_shuffle3.yaml
shuffle,3,0.9,0.9108999967575073,results_kfrac_geo_r_r50_shuffle3.yaml
shuffle,3,0.95,0.9097999930381775,results_kfrac_geo_r_r50_shuffle3.yaml
shuffle,3,1.0,0.9106000065803528,results_kfrac_geo_r_r50_shuffle3.yaml
shuffle,4,0.05,0.7676999568939209,results_kfrac_geo_r_r50_shuffle4.yaml
shuffle,4,0.1,0.8132999539375305,results_kfrac_geo_r_r50_shuffle4.yaml
shuffle,4,0.15,0.840999960899353,results_kfrac_geo_r_r50_shuffle4.yaml
shuffle,4,0.2,0.8506999611854553,results_kfrac_geo_r_r50_shuffle4.yaml
shuffle,4,0.25,0.865399956703186,results_kfrac_geo_r_r50_shuffle4.yaml
shuffle,4,0.3,0.8758999705314636,results_kfrac_geo_r_r50_shuffle4.yaml
shuffle,4,0.35,0.878600001335144,results_kfrac_geo_r_r50_shuffle4.yaml
shuffle,4,0.4,0.885699987411499,results_kfrac_geo_r_r50_shuffle4.yaml
shuffle,4,0.45,0.8932999968528748,results_kfrac_geo_r_r50_shuffle4.yaml
shuffle,4,0.5,0.8942999839782715,results_kfrac_geo_r_r50_shuffle4.yaml
shuffle,4,0.55,0.8904999494552612,results_kfrac_geo_r_r50_shuffle4.yaml
shuffle,4,0.6,0.8988999724388123,results_kfrac_geo_r_r50_shuffle4.yaml
shuffle,4,0.65,0.9023999571800232,results_kfrac_geo_r_r50_shuffle4.yaml
shuffle,4,0.7,0.8994999527931213,results_kfrac_geo_r_r50_shuffle4.yaml
shuffle,4,0.75,0.9070999622344971,results_kfrac_geo_r_r50_shuffle4.yaml
shuffle,4,0.8,0.9070000052452087,results_kfrac_geo_r_r50_shuffle4.yaml
shuffle,4,0.85,0.9071999788284302,results_kfrac_geo_r_r50_shuffle4.yaml
shuffle,4,0.9,0.9096999764442444,results_kfrac_geo_r_r50_shuffle4.yaml
shuffle,4,0.95,0.9095999598503113,results_kfrac_geo_r_r50_shuffle4.yaml
shuffle,4,1.0,0.9106000065803528,results_kfrac_geo_r_r50_shuffle4.yaml
shuffle,5,0.05,0.7351999878883362,results_kfrac_geo_r_r50_shuffle5.yaml
shuffle,5,0.1,0.8102999925613403,results_kfrac_geo_r_r50_shuffle5.yaml
shuffle,5,0.15,0.8321999907493591,results_kfrac_geo_r_r50_shuffle5.yaml
shuffle,5,0.2,0.8483999967575073,results_kfrac_geo_r_r50_shuffle5.yaml
shuffle,5,0.25,0.8628999590873718,results_kfrac_geo_r_r50_shuffle5.yaml
shuffle,5,0.3,0.871999979019165,results_kfrac_geo_r_r50_shuffle5.yaml
shuffle,5,0.35,0.8793999552726746,results_kfrac_geo_r_r50_shuffle5.yaml
shuffle,5,0.4,0.8833000063896179,results_kfrac_geo_r_r50_shuffle5.yaml
shuffle,5,0.45,0.8905999660491943,results_kfrac_geo_r_r50_shuffle5.yaml
shuffle,5,0.5,0.8947999477386475,results_kfrac_geo_r_r50_shuffle5.yaml
shuffle,5,0.55,0.8947999477386475,results_kfrac_geo_r_r50_shuffle5.yaml
shuffle,5,0.6,0.8999999761581421,results_kfrac_geo_r_r50_shuffle5.yaml
shuffle,5,0.65,0.902999997138977,results_kfrac_geo_r_r50_shuffle5.yaml
shuffle,5,0.7,0.9009999632835388,results_kfrac_geo_r_r50_shuffle5.yaml
shuffle,5,0.75,0.902899980545044,results_kfrac_geo_r_r50_shuffle5.yaml
shuffle,5,0.8,0.9062999486923218,results_kfrac_geo_r_r50_shuffle5.yaml
shuffle,5,0.85,0.9092999696731567,results_kfrac_geo_r_r50_shuffle5.yaml
shuffle,5,0.9,0.9079999923706055,results_kfrac_geo_r_r50_shuffle5.yaml
shuffle,5,0.95,0.9093999862670898,results_kfrac_geo_r_r50_shuffle5.yaml
shuffle,5,1.0,0.9106000065803528,results_kfrac_geo_r_r50_shuffle5.yaml
shuffle,6,0.05,0.7526999711990356,results_kfrac_geo_r_r50_shuffle6.yaml
shuffle,6,0.1,0.8172999620437622,results_kfrac_geo_r_r50_shuffle6.yaml
shuffle,6,0.15,0.8325999975204468,results_kfrac_geo_r_r50_shuffle6.yaml
shuffle,6,0.2,0.857699990272522,results_kfrac_geo_r_r50_shuffle6.yaml
shuffle,6,0.25,0.8689000010490417,results_kfrac_geo_r_r50_shuffle6.yaml
shuffle,6,0.3,0.8733999729156494,results_kfrac_geo_r_r50_shuffle6.yaml
shuffle,6,0.35,0.8801999688148499,results_kfrac_geo_r_r50_shuffle6.yaml
shuffle,6,0.4,0.8858000040054321,results_kfrac_geo_r_r50_shuffle6.yaml
